"word1","word2","word3","word4","freq"
"now","moment","youve","waiting",3
"nurturing","funny","musical","qualities",3
"occupy","wall","street","movement",3
"officer","tried","pull","driver",3
"officers","ease","tense","moments",3
"old","woman","fence","suffered",3
"one","man","one","woman",3
"one","question","youve","got",3
"one","thing","iâ","ve",3
"one","time","rap","business",3
"one","two","remaining","sticking",3
"otherwise","one","time","rap",3
"pac","shakur","least","wasnt",3
"page","boulevard","st","louis",3
"park","pm","got","five",3
"participant","amazon","services","llc",3
"patients","guns","way","household",3
"people","rise","different","levels",3
"percent","frances","cac","fell",3
"performances","show","first","time",3
"picked","father","salesman","put",3
"pilot","program","way","begin",3
"pinned","year","old","woman",3
"places","definitely","seek","employment",3
"planned","meet","easter","sides",3
"pleaded","guilty","federal","court",3
"please","let","us","know",3
"pm","got","five","minute",3
"pm","tonight","city","hall",3
"point","push","start","contract",3
"points","handle","staffing","struggling",3
"policemenâ","s","benevolent","association",3
"post","information","programs","directors",3
"pound","bar","exaggeration","say",3
"pounds","summer","eighth","grade",3
"president","ill","take","one",3
"private","clubs","dont","want",3
"productive","today","will","productive",3
"program","way","begin","reviewing",3
"programmes","designed","provide","means",3
"programs","directors","websites","detailed",3
"projections","call","nearly","million",3
"projects","according","report","issued",3
"provide","bit","animated","history",3
"provide","means","sites","earn",3
"provided","â","isâ","subject",3
"pull","driver","toyota","sedan",3
"puppet","upcoming","secaucus","attraction",3
"pursuit","wound","west","east",3
"push","start","contract","negotiations",3
"put","referendum","hamlet","mostly",3
"put","suspects","witnesses","even",3
"qualities","picked","father","salesman",3
"rap","business","mogul","suge",3
"reach","agreement","one","two",3
"real","estate","projects","according",3
"record","arrested","minor","traffic",3
"referendum","hamlet","mostly","retirees",3
"remaining","sticking","points","handle",3
"remember","freshmancaveman","rep","jason",3
"rep","jason","brodeur","wanted",3
"report","issued","last","week",3
"reps","pound","bar","exaggeration",3
"result","comes","income","inequality",3
"rewarded","two","performances","show",3
"rex","puppet","upcoming","secaucus",3
"rihanna","performed","event","since",3
"rise","different","levels","success",3
"robert","menendez","d","nj",3
"row","ch","turn","sc",3
"said","â","iâ","m",3
"said","dhs","delay","indefinitely",3
"said","year","old","daughter",3
"said","yesterday","called","meeting",3
"sales","thats","triple","years",3
"salesman","put","suspects","witnesses",3
"san","francisco","architectural","heritage",3
"saturday","force","sundays","championship",3
"say","always","will","people",3
"say","lactic","acid","buildup",3
"says","donald","andreini","spokesman",3
"school","home","schooled","tebow",3
"schooled","tebow","curl","reps",3
"schools","jackson","hinted","may",3
"scored","three","runs","drove",3
"scratch","throwing","previous","contracts",3
"secaucus","attraction","field","station",3
"secretary","state","hillary","rodham",3
"sedalia","washington","came","losers",3
"sedan","speeding","south","th",3
"see","need","disputed","point",3
"sens","frank","lautenberg","robert",3
"sense","humor","charm","â",3
"series","economic","development","wins",3
"served","meals","children","cleveland",3
"services","llc","amazon","eu",3
"services","llc","andor","amazon",3
"seven","member","town","council",3
"shakur","least","wasnt","arrested",3
"show","first","time","rihanna",3
"showdown","festus","advances","regionals",3
"sides","said","yesterday","called",3
"sites","earn","advertising","fees",3
"smell","smoke","dont","visit",3
"smoke","dont","visit","places",3
"smoking","bans","exempt","casinos",3
"south","th","street","castana",3
"southern","illinois","university","edwardsville",3
"speeding","south","th","street",3
"spokesman","san","francisco","architectural",3
"square","foot","home","pool",3
"st","louis","county","also",3
"staffing","struggling","schools","jackson",3
"start","contract","negotiations","scratch",3
"state","hillary","rodham","clinton",3
"states","statewide","smoking","bans",3
"statewide","smoking","bans","exempt",3
"station","dinosaurs","will","provide",3
"sted","e","hybrid","heights",3
"sticking","points","handle","staffing",3
"straighten","arms","three","days",3
"street","castana","street","lincoln",3
"street","driver","struck","electrical",3
"street","lincoln","park","pm",3
"struck","electrical","box","pinned",3
"struggling","schools","jackson","hinted",3
"subject","change","removal","time",3
"success","based","contribute","society",3
"suffered","badly","gashed","elbow",3
"suge","knight","arrested","sunday",3
"suggesting","otherwise","one","time",3
"summer","eighth","grade","freshman",3
"sunday","foot","mechanical","tyrannosaurus",3
"sunday","may","tupac","aka",3
"sundays","championship","showdown","festus",3
"survived","earthquake","says","donald",3
"suspects","witnesses","even","officers",3
"t","tell","many","times",3
"tä","vad","urukramä","á¹",3
"take","final","sedalia","washington",3
"take","one","question","youve",3
"takes","dust","lotus","feet",3
"talk","freely","patients","guns",3
"talked","kind","man","thinks",3
"tebow","curl","reps","pound",3
"technion","institute","technology","civil",3
"technology","civil","environmental","engineering",3
"tell","tale","noble","true",3
"tense","moments","colleagues","said",3
"th","street","castana","street",3
"thatâ","s","iâ","m",3
"thats","triple","years","sales",3
"things","ive","ever","done",3
"thinks","might","kind","nurturing",3
"thought","much","survived","earthquake",3
"time","next","year","iâ",3
"time","rap","business","mogul",3
"time","rihanna","performed","event",3
"today","will","productive","today",3
"tonight","city","hall","can",3
"town","council","first","approved",3
"toyota","sedan","speeding","south",3
"traffic","violations","misdemeanors","pilot",3
"transportation","secretary","ray","lahood",3
"tried","pull","driver","toyota",3
"tupac","aka","pac","shakur",3
"tweets","suggesting","otherwise","one",3
"two","performances","show","first",3
"two","remaining","sticking","points",3
"tyrannosaurus","rex","puppet","upcoming",3
"upcoming","secaucus","attraction","field",3
"us","sens","frank","lautenberg",3
"us","transportation","secretary","ray",3
"uses","sense","humor","charm",3
"violations","misdemeanors","pilot","program",3
"visit","places","definitely","seek",3
"want","smell","smoke","dont",3
"wanted","make","doctors","talk",3
"washington","came","losers","bracket",3
"washington","winner","take","final",3
"wasnt","arrested","las","vegas",3
"way","begin","reviewing","case",3
"way","household","dangers","chemicals",3
"way","new","commercial","industrial",3
"website","comes","amazon","services",3
"websites","detailed","better","example",3
"weed","weed","weed","weed",3
"week","leadership","council","southwestern",3
"weighing","pounds","summer","eighth",3
"west","east","logan","avenue",3
"will","people","rise","different",3
"will","productive","today","will",3
"will","provide","bit","animated",3
"winner","take","final","sedalia",3
"wins","metro","east","billion",3
"witnesses","even","officers","ease",3
"woman","fence","suffered","badly",3
"worth","construction","way","new",3
"wound","west","east","logan",3
"year","high","school","home",3
"year","old","woman","fence",3
"years","talked","kind","man",3
"yesterday","called","meeting","pm",3
"ã","ã","ã","ã",2
"â","â","burlesque","performer",2
"â","â","itâ","s",2
"â","â","met","dog",2
"â","autobiographical","intimacy","achieved",2
"â","become","rite","passage",2
"â","boogie","chillenâ","â",2
"â","boomâ","dont","overlook",2
"â","brightened","day","love",2
"ã","brown","admits","making",2
"â","burlesque","performer","go",2
"â","cageâ","said","door",2
"â","can","anyone","take",2
"â","canâ","t","say",2
"â","cheyenne","mountain","wheat",2
"â","chooseâ","buy","insurance",2
"â","commit","speak","publish",2
"â","crews","kickoff","return",2
"â","crews","safety","ppcc",2
"â","crucial","first","paycheck",2
"â","deserve","ogorman","says",2
"â","direct","comparisons","previous",2
"â","dis","moi","que",2
"â","donâ","t","know",2
"â","donâ","t","take",2
"ã","dorie","seavey","director",2
"â","doxey","pass","crews",2
"â","doxey","run","pass",2
"â","earning","third","highest",2
"â","edi","â","hotop",2
"â","edward","scissorhands","burton",2
"â","enjoy","series","win",2
"â","especially","poorest","generally",2
"â","even","heroism","â",2
"â","everhart","pass","jones",2
"â","feminist","academicâ","earned",2
"â","fiscal","reform","stuffed",2
"ã","fun","see","nervous",2
"â","give","risk","lost",2
"â","guessed","â","â",2
"â","havenâ","t","even",2
"â","hotop","run","kick",2
"â","iâ","m","fineâ",2
"â","iâ","m","just",2
"â","iâ","m","sexyâ",2
"ã","id","give","greg",2
"â","im","bad","like",2
"â","im","glad","liked",2
"â","im","moodâ","â",2
"â","imagination","fade","cold",2
"â","information","appears","might",2
"â","intercession","young","manâ",2
"â","itâ","s","hypnotic",2
"â","itâ","s","just",2
"â","itâ","s","like",2
"â","itâ","s","little",2
"â","itâ","s","simple",2
"â","italian","rescue","workers",2
"â","jack","oâ","lanternâ",2
"â","jones","run","petre",2
"â","just","running","anything",2
"â","knows","play","game",2
"â","la","modeâ","â",2
"â","law","lawâ","ross",2
"â","let","goâ","little",2
"â","long","one","approach",2
"â","mandate","anyone","making",2
"ã","may","think","one",2
"â","mayfield","run","kick",2
"â","met","dog","named",2
"â","negotiation","get","close",2
"â","neighbors","look","meâ",2
"â","never","really","knew",2
"â","new","york","giants",2
"â","now","iâ","m",2
"â","oh","iâ","m",2
"â","one","duties","congress",2
"â","one","grape","sized",2
"â","patient","navigator","will",2
"â","pikes","peak","â",2
"â","playâ","barely","break",2
"â","playâ","little","simple",2
"â","poisons","creative","well",2
"â","possible","agreement","reached",2
"â","presumably","â","enjoy",2
"â","pretty","girlsâ","repeats",2
"â","recently","arabic","icelandic",2
"â","restriction","ends","daysâ",2
"â","sam","weller","oliver",2
"â","sept","vs","san",2
"â","serious","allegation","federal",2
"â","serviceâ","conspirators","caused",2
"â","several","tracks","â",2
"â","shoddy","source","information",2
"â","slanderously","wrongâ","â",2
"â","spend","time","kidsâ",2
"â","stepping","end","nearly",2
"â","thanks","showing","tonightâ",2
"â","thatâ","s","big",2
"â","thatâ","s","good",2
"â","thatâ","s","trueâ",2
"â","three","requests","video",2
"â","told","needed","suspend",2
"â","treat","roomâ","small",2
"â","two","additional","channels",2
"â","unit","offers","nutrition",2
"â","unlike","stage","magicians",2
"â","weâ","ve","got",2
"â","wedged","implant","skin",2
"â","well","air","conditioning",2
"â","well","canâ","t",2
"â","without","howard","side",2
"â","working","class","voters",2
"â","zoo","definitely","one",2
"aaa","wright","express","oil",2
"aadvantage","rewards","program","made",2
"aaron","craft","deshaun","thomas",2
"aaron","kampman","packers","eight",2
"ability","seventh","round","steal",2
"ability","subcontractors","vendors","get",2
"able","budget","within","percent",2
"able","explain","somebody","unfamiliar",2
"able","make","effective","compelling",2
"able","people","provide","services",2
"able","play","opened","last",2
"able","purchase","tax","certificates",2
"able","put","credentials","people",2
"able","trust","names","ballot",2
"aboard","charter","bus","champion",2
"abraham","lincoln","city","stadium",2
"abramofs","sarava","anchors","culinary",2
"abroad","london","riots","referred",2
"absentee","ballot","request","every",2
"absolutely","nothing","common","either",2
"abusing","chelsea","striker","didier",2
"academic","achievement","disparate","administering",2
"academicâ","earned","doctorate","widener",2
"academy","sports","complex","hold",2
"acamps","specialty","rentals","reservations",2
"accept","probably","coming","anyway",2
"acceptable","competitive","james","said",2
"accessibility","first","thing","poet",2
"accident","occurred","pm","sunday",2
"accident","university","south","florida",2
"accidents","unproven","therapy","meant",2
"accompanied","daughters","also","dozens",2
